NOx_EO,AIR Flow,Fuel flow,Gexh ,T4,N,MD,Power,Air to Fuel RATIO,Velocity,diff_pressure,LABEL
320.22,236.88,5.09,241.97,363.99,1713.3,328.16,57.58,46.5,23,2.12,0
414.97,203.77,6.54,210.31,364.71,1642.9,186,31.5,31.14,16,3.03,1
479.28,171.5,8.06,179.56,361.92,1601.7,173.4,28.8,21.27,68,2.5,0
575.03,155.65,7.98,163.63,360.5,1548.8,210.68,33.02,19.51,36,2.37,0
333.75,139.17,7.3,146.47,357.9,1461.1,111.36,16.66,19.07,55,1.3,0
244.46,120.15,6.55,126.7,352.76,1423.1,80.23,11.99,18.33,76,2.8,0
249.42,112.05,5.52,117.57,348.66,1407.7,126.13,18.1,20.3,34,2.8,0
238.83,104.6,4.65,109.25,344.93,1352.2,90.27,12.66,22.5,89,2.12,0
230.91,100.81,4.06,104.87,341.98,1348.1,66.66,9.51,24.81,54,3.03,0
237.69,101.3,3.69,104.99,339.18,1374.5,75.2,10.81,27.43,43,3.2,0
220.3,102.72,3.48,106.2,336.12,1416.3,1.72,0.27,29.53,45,2.5,0
230.26,116.81,3.33,120.14,334.71,1540.3,81.18,13.4,35.05,34,2.37,0
211.86,170.33,3.47,173.8,339.88,1691.6,44.32,8.6,49.1,87,1.3,0
200.67,268.24,4.3,272.54,352.55,1923.5,284.15,57.96,62.35,65,2.8,0
209.79,269.67,6.48,276.15,355.52,1911.5,336.73,64.81,41.59,35,3.43,0
286.12,280.19,8.79,288.98,358.52,1853.5,245.89,49.06,31.87,33,3.7,1
503.94,382.11,10.14,392.25,364.86,1949.5,358.28,74.89,37.69,31,0.23,0
350.74,363.11,11.57,374.68,367.77,1914.4,488.45,90.63,31.38,67,2.8,0
296.67,259.8,13.23,273.03,362.89,1630.5,339.23,52.99,19.64,45,0.23,0
765.03,176.28,13.27,189.55,355.98,1386.3,231.36,31.07,13.29,64,2.5,0
677.2,129.2,11.27,140.47,350.96,1238.9,120.05,15.37,11.46,35,2.37,0
392.28,109.21,8.78,117.99,347.12,1186.6,118.57,14.08,12.44,8,1.3,0
325.55,106.79,6.7,113.49,341.07,1098.3,67.81,7.59,15.94,7,2.8,0
390.49,111.2,4.76,115.96,334.68,1068.7,26.92,3.03,23.38,7,0.23,0
414.89,112.56,3.14,115.7,329.11,1107.6,-8.44,0,35.9,7,3.03,0
307.27,107.71,2.42,110.13,324.43,1164.9,73.56,8.9,44.54,132,3.2,0
342.99,102.77,2.47,105.24,320.74,1152.2,52.37,6.33,41.57,0,2.8,0
348.89,106.71,2.44,109.15,317.96,1165.2,85.87,10.58,43.71,56,0.23,0
407.62,99.41,2.42,101.83,318.45,1184.7,106.37,13.28,41.08,34,2.5,0
406.69,94.05,2.65,96.7,318.94,1193.7,123.4,15.43,35.53,12,2.37,0
427.94,94.22,2.92,97.14,320.85,1191.5,120.23,14.9,32.22,69,1.3,0
495.99,94.04,3.17,97.21,321.44,1188.3,71.22,8.92,29.67,61,2.8,0
405.87,91.83,3.3,95.13,319.32,1211.5,38,4.9,27.84,58,0.23,0
336.63,93.67,3.15,96.82,317.09,1242.8,93.76,12.29,29.75,44,3.03,0
287.12,97.01,2.8,99.81,316.62,1251.2,92.71,12.07,34.68,21,3.2,0
266.25,91.73,2.73,94.46,314.97,1253.4,39.75,5.27,33.6,90,1.3,0
296.84,101.8,2.76,104.56,313.51,1309.9,70.95,9.98,36.9,99,2.5,1
344.63,152.06,2.71,154.77,320.24,1479.8,30.56,5.32,56.15,101,1,0
242.34,252.2,3.19,255.39,337.68,1804.6,217.89,44.42,79.17,122,2.3,0
258.5,332.7,5.43,338.13,348.2,1910.9,434.6,82.39,61.32,123,0.57,0
492.57,244.42,8.73,253.15,344.97,1638.4,384,57.03,27.99,165,0.65,0
651.36,158.16,10.16,168.32,337.11,1355.2,67.21,9.36,15.57,121,0.78,0
531.5,145.95,9.31,155.26,334.82,1477,-57.76,0,15.68,100,1.3,0
333.92,243.66,7.47,251.13,344.82,1837,205.38,41.6,32.62,87,3.2,0
272.27,334.46,7.46,341.92,353.74,1997.6,303.16,64.89,44.86,90,2.4,0
367.89,409.2,9.34,418.54,361.74,2103.4,331.99,75.17,43.82,77,4.3,1
553.5,448.6,11.82,460.42,369.19,2200.4,361,83.97,37.96,109,2.8,0
451.44,437.03,14.56,451.59,372.78,2216.7,382.39,88.61,30.01,110,3.03,0
444.73,428.51,16.53,445.04,375.15,2118.3,536.72,111.07,25.93,34,3.2,0
350.83,361.59,17.5,379.09,375.57,1863.2,469.67,85.54,20.67,99,2.5,0
322.13,333.77,18.06,351.83,378.74,1766.5,274.08,53.15,18.48,12,2.5,0
321.96,424.98,17.46,442.44,383.89,1929.7,391.12,81.45,24.33,34,2.37,0
371.6,424.93,17.24,442.17,389.69,2015.6,427.43,90.95,24.65,53,0.57,0
421.35,431.94,18.05,449.99,394.85,2022.2,476.94,99.58,23.92,23,0.65,0
888.74,423.13,18.9,442.03,399.18,1984.7,428.39,89.37,22.39,76,0.78,0
669.57,405.55,19.51,425.06,401.56,1947.5,541.67,104.43,20.79,56,3.2,0
456.19,393.38,19.91,413.29,403.44,1885.2,247.98,52.56,19.76,89,0.34,1
470.59,441.55,19.53,461.08,404.42,1997.1,525.61,101.99,22.6,10,2.3,0
482.45,310.01,19.11,329.12,396.33,1807.2,213,40.81,16.22,90,3.2,1
490.5,263.33,18.12,281.45,390.8,1791.9,320.57,57.75,14.54,80,3.5,1
864.55,199.2,15.76,214.96,382.88,1585.9,253.11,37.76,12.64,43,3.6,0
596.04,135.46,13,148.46,370.78,1325.1,96.74,12.58,10.42,56,3.8,1
356.87,103.57,9.54,113.11,361.58,1242.2,-4.45,0,10.85,0,1.3,0
269.26,98.18,6.58,104.76,355.58,1304.6,38.71,5.38,14.91,67,2.3,1
236.2,111.65,4.65,116.3,352.27,1367.4,93.93,13.72,24.03,45,2.5,0
265.23,165.64,3.72,169.36,358.51,1521.7,56.77,10.06,44.49,27,2.37,0
343.01,266.38,3.97,270.35,369.27,1819.4,243.69,49.15,67.07,78,1.3,0
336.03,309.21,6.19,315.4,378.28,1950.8,298.43,60.59,49.94,35,4.3,1
502.66,274.59,9.34,283.93,374.72,1922,244.87,49.2,29.39,68,0.32,0
669.07,248.4,10.93,259.33,372.85,1818.7,431.19,74.15,22.72,39,0.78,0
489.58,226.38,11.12,237.5,372.23,1623,172.31,30.33,20.36,89,1.43,0
330.5,290.6,10.52,301.12,378.25,1725.1,364.12,66.36,27.61,78,2.56,0
258.01,312.47,10.26,322.73,383.76,1737.5,322.27,59.14,30.46,79,0.32,0
274.64,263.72,11.49,275.21,383.33,1645.4,405.72,62.77,22.96,56,2.08,0
572.79,179.37,12.02,191.39,375.48,1330.7,239.61,29.57,14.92,98,2.5,0
592.23,124.23,10.98,135.21,365.85,1149.5,-4.23,0,11.32,76,2.37,0
349.64,107.85,8.62,116.47,358.12,1186.6,58.11,7.26,12.52,87,1.3,0
312.14,96,6.2,102.2,352.87,1173.7,80.35,9.64,15.48,76,2.8,0
360.73,105.12,4.55,109.67,347.02,1127.8,50.6,5.9,23.12,57,3.56,0
377.28,114.15,3.24,117.39,341,1109.6,40.99,4.75,35.28,85,2.37,0
390.44,119.48,2.3,121.78,336.77,1119.8,40.76,4.85,51.91,46,1.3,0
344.59,127.89,2.02,129.91,333.6,1159.3,129.4,15.92,63.36,89,2.8,0
338.06,112.89,2.42,115.31,335.3,1215.1,74.11,9.93,46.56,88,0.23,0
357.51,106.41,3.08,109.49,337.69,1262.9,190.93,23.94,34.5,87,3.03,0
526.7,98.62,3.55,102.17,336.45,1178.3,47.71,5.9,27.77,89,3.2,0
925.23,98.43,3.7,102.13,333.8,1219.2,21.21,2.8,26.59,76,2.5,0
507.87,96.89,3.42,100.31,331.33,1331.9,-4.7,0,28.35,85,2.37,0
255.47,123.73,3.15,126.88,334.11,1530.3,-25.14,0,39.22,56,1.3,0
356.77,205.54,3.14,208.68,342.66,1809.5,167.38,33.46,65.42,94,2.8,0
334.71,279.01,4.61,283.62,352.46,1882,372.35,70.73,60.47,35,0.23,0
279.99,231.77,6.97,238.74,353.17,1676,369.81,57.36,33.26,87,3.03,0
454.96,175.2,8.43,183.63,350.13,1455.4,93.39,14.71,20.79,24,3.2,0
405.15,190.03,7.97,198,354.15,1544.1,235.84,38.62,23.84,24,2.5,0
329.59,180.54,7.38,187.92,358.17,1546,249.72,39.79,24.46,32,2.37,0
271.76,160.6,7.6,168.2,360.63,1454.4,265.28,38.03,21.14,98,1.3,0
493.77,132.88,7.48,140.36,357.4,1287.4,147.11,18.5,17.76,23,2.8,0
454.21,105.67,6.79,112.46,349.37,1174.5,31.81,3.87,15.56,35,3.56,0
248.17,108.46,5.62,114.08,343.06,1210.3,19.1,2.52,19.28,64,0.32,0
259.57,137.5,4.35,141.85,342.72,1405.5,-19.8,0,31.64,23,0.78,0
266.23,210.93,3.84,214.77,354.59,1686.1,350.16,61.37,54.87,21,1.43,0
303.76,251.4,4.97,256.37,362.18,1714.5,188.76,35.41,50.6,100,2.56,0
509.74,284.01,7.22,291.23,365.9,1858.7,245.79,49.14,39.35,43,0.32,0
771.37,313.79,9.4,323.19,367.11,1926.2,321.89,65.73,33.4,34,1,0
587.16,332.08,11.16,343.24,367.13,1851.3,519.61,90.44,29.75,45,2.3,0
420.62,278.81,12.32,291.13,367.23,1664.6,199,36.6,22.64,39,0.57,0
401.86,379.8,12.59,392.39,374.73,1851.8,368.52,74.64,30.16,32,0.65,1
439.44,422.04,13.08,435.12,381.88,1942.7,485.23,97.35,32.26,24,0.78,0
374.18,405.08,15.09,420.17,388.18,1899.9,443.71,88.34,26.84,87,2.5,1
812.94,389.73,16.81,406.54,392.27,1836.6,554.57,100.75,23.18,67,2.37,0
743.65,318.35,17.64,335.99,393.39,1638.6,425.83,68.78,18.05,34,1.3,0
487.38,234.17,17.33,251.5,389.58,1488,285.4,43.07,13.51,12,2.8,1
482.97,181.78,15.55,197.33,385.37,1433.1,206.07,30.41,11.69,19,0.23,0
449.5,180.66,13.34,194,384.75,1533.2,36.64,6.56,13.55,18,2.5,0
406.62,289.04,11.01,300.05,393.24,1899.2,129.41,28.81,26.25,67,2.37,0
391.01,349.83,10.55,360.38,391.96,2067.5,482.24,94.86,33.15,5,3.2,1
382.7,236.45,11.83,248.28,378.84,1718.9,247.26,40.14,19.99,10,2.5,0
584.76,186.09,12.16,198.25,370.63,1612.6,-3.25,0,15.3,13,2.37,0
536.12,262.53,10.18,272.71,374.69,1899.4,158.47,33.83,25.79,17.5,3.2,0
280.72,319.58,9.3,328.88,377.22,2081.1,284.97,62.15,34.35,12.4,2.5,0
287.73,309.42,10.3,319.72,374.05,2079.7,262.86,57.08,30.04,123,2.37,0
498.9,307.22,11.36,318.58,371.01,2069.5,268.83,58.1,27.04,34,1.3,0
452.09,304.4,11.95,316.35,369.08,2036.4,339.85,70.23,25.46,15,2.8,0
301.95,306.81,12.34,319.15,368.98,2008.1,154.03,34.09,24.87,64,0.23,0
296.17,311.94,12.53,324.47,367.23,2058.4,427.32,84.15,24.9,98,2.5,0
300,273.79,12.72,286.51,363,1887.8,78.94,16.49,21.52,34,2.5,0
311.35,331.69,12.43,344.12,361.99,2056.9,213.59,46.19,26.68,28,2.37,0
321.47,272.71,11.91,284.62,357.31,2095.4,144.46,32.36,22.91,57,1.3,0
276.01,299.77,11.45,311.22,357.23,2169.9,220.84,50.8,26.18,63,2.8,0
459.12,310,11.06,321.06,356.09,2140.8,359.04,76.66,28.03,96,2.8,0
331.51,283.14,11.26,294.4,355.07,1972.1,292.1,58.48,25.14,17,2.12,0
291.86,261.98,11.51,273.49,357.01,1904.7,233.25,46.58,22.77,56,3.03,0
292.21,272.09,11.52,283.61,361.55,1918.4,269.36,54.05,23.61,27,3.2,0
301.56,322.67,11.54,334.21,366.24,1949.9,256.31,53.6,27.95,45,2.5,0
288.56,338.33,11.83,350.16,369.58,2016.6,322.2,68.03,28.59,67,2.37,0
262.1,335.53,12.53,348.06,370.23,2012.9,316.21,66.32,26.78,24,1.3,0
354.98,334.07,13.28,347.35,371.09,2004.8,322.69,67.58,25.15,57,2.8,0
452.28,340.4,13.77,354.17,372.12,2013.8,305.17,64.75,24.73,98,3.03,0
383.31,355.3,14.17,369.47,373.4,2045.5,303.48,65.53,25.08,99,3.2,0
402.85,360.93,14.49,375.42,374.47,2062.9,341.56,73.17,24.91,67,2.5,0
419.2,358.59,14.79,373.38,375.26,2045.2,319.08,68.31,24.25,26,2.5,0
398.91,360.52,15.05,375.57,376.13,2053,316.74,68.21,23.95,17.8,2.37,0
370.88,361.71,15.22,376.93,376.9,2061.6,320.69,69.17,23.76,17.3,1.3,0
374.04,360.44,15.32,375.76,377.53,2058.7,328.93,70.65,23.52,21.5,2.8,0
384.27,359.1,15.4,374.5,378.12,2045.6,336.75,71.59,23.32,24.2,2.8,0
375.4,356.91,15.47,372.38,378.88,2037.9,306.06,65.69,23.07,28.8,2.12,0
373.98,360.36,15.5,375.86,379.79,2058.6,323.82,69.85,23.25,17,3.03,0
378.07,360.06,15.49,375.55,380.24,2048.9,352.97,74.83,23.25,16,3.2,0
383.84,354.96,15.5,370.46,380.82,2012.8,338.03,70.88,22.89,78,2.5,0
384.74,351.01,15.5,366.51,381.42,1981.8,372.12,75.85,22.65,32,2.37,0
377.26,339.75,15.47,355.22,382.33,1925.4,357.66,71.14,21.96,15,1.3,0
390.64,330.74,15.36,346.1,383.85,1893.5,324.49,64.83,21.53,87,2.8,0
424.09,319.77,15.11,334.88,385.1,1823.5,526.53,91.02,21.16,35,0.23,0
430.54,289.29,15.01,304.3,387.65,1687.6,150.73,28.92,19.27,100,2.5,0
428.72,353.23,14.35,367.58,390.83,1915.5,292.65,59.64,24.62,100,2.37,0
423.5,282.25,14.22,296.47,385.17,1960.2,190.74,39.41,19.84,100,1.3,0
423.06,245.59,14.23,259.82,380.25,1980.6,206.6,42.76,17.26,97,2.8,0
690.27,235.14,12.97,248.11,377.67,1970.6,209.86,42.99,18.13,66,0.23,0
500.32,225.21,11.64,236.85,376.54,1950.9,193.29,39.3,19.35,88,3.03,0
283.13,217.71,10.66,228.37,375.84,1941.5,184.26,37.4,20.43,23,3.2,0
246.85,215.2,9.91,225.11,376.18,1940.6,188.17,38.2,21.71,51,2.5,0
233.17,218.15,9.4,227.55,377.71,1931.6,217.7,43.62,23.2,78,2.37,0
220.28,220.46,9.18,229.64,379.76,1904,223.31,44.11,24,69,2.8,0
206.02,230.53,9.23,239.76,383.04,1904.3,191.16,38.7,24.98,23,3.56,0
197.9,266.35,9.44,275.79,385.98,1952.1,267.84,54.84,28.21,16,2.12,0
192.12,310.34,9.94,320.28,387.56,1961.8,261.91,54.52,31.23,68,0.78,0
193.98,285.01,10.75,295.76,384.51,1893.9,407.56,73.96,26.5,36,2.5,0
267.61,217.52,11.34,228.86,379.69,1622.3,292.82,46.56,19.19,55,2.37,0
347.46,194.08,10.97,205.05,381,1533.9,175.47,29,17.69,76,1.3,0
369.71,249.96,9.94,259.9,389.2,1693.1,198.96,38.16,25.15,34,2.8,0
285.53,332.26,9.84,342.1,397.49,1938.5,259.94,55.29,33.78,5,0.45,0
325.06,356.67,11.54,368.21,398.39,2078.7,295.89,65.37,30.9,10,2.5,0
516.56,356.93,13.38,370.31,395.17,2107.3,332.54,72.66,26.67,13,2.37,0
592.29,356.45,14.3,370.75,392.4,2068,339.68,72.77,24.92,17.5,1.3,0
397.27,354.85,14.69,369.54,391.12,2024.1,358.8,74.87,24.15,12.4,2.8,0
354.29,348.26,14.95,363.21,390.42,1972.3,352.53,71.92,23.29,123,0.23,0
355.51,341.11,15.11,356.22,390.53,1943.5,332.79,67.58,22.57,34,3.03,0
379.23,338.47,15.1,353.57,391.36,1935.8,349.16,70.25,22.41,15,3.2,0
415.08,340.24,15.05,355.29,392.4,1930.2,318.28,64.68,22.61,64,2.5,0
418.86,344.48,15.01,359.49,393.64,1962.4,319.16,66.11,22.95,98,2.37,0
425.35,354.6,15.01,369.61,394.67,2001.9,313.07,66.31,23.63,34,1.3,0
425.02,359.82,15.11,374.93,394.91,2043.1,318.87,68.56,23.82,28,2.8,0
422.6,364.89,15.3,380.19,394.78,2076.1,301.22,66.09,23.85,57,3.56,0
413.56,366.83,15.45,382.28,394.49,2116.9,276.93,62.36,23.74,63,2.5,0
422.17,340.13,15.44,355.57,389.18,2073.6,388.97,79.57,22.03,96,2.37,0
386.59,257.99,15.16,273.15,383.13,1781.5,452.33,73.38,17.02,17,3.2,0
377.73,209.44,14.29,223.73,384.01,1556.2,93.98,16.39,14.65,56,2.5,0
350.36,247.42,12.22,259.64,386.55,1781,140.51,27.78,20.24,27,2.37,0
305.09,221.79,10.93,232.72,382.23,1896.1,164.81,32.03,20.29,45,1.3,0
350.04,183.3,10.65,193.95,375.01,1833,130.82,24.81,17.21,67,2.8,0
789.91,168.66,9.38,178.04,370.81,1824.7,74.31,14.38,17.98,24,0.23,0
558.62,157.7,7.92,165.62,366.83,1860.9,73.84,14.35,19.9,57,2.5,0
248.29,145.59,6.86,152.45,362.16,1881.5,37.15,7.46,21.21,98,2.5,0
264.59,164.24,5.86,170.1,362.91,1947.1,128.51,26.52,28.01,99,2.37,0
211.9,213.41,5.47,218.88,367.14,1957.1,257.45,51.97,39.05,67,1.3,0
202.89,230.03,6.09,236.12,371.88,1861.2,318.09,59.03,37.75,26,2.8,0
221.06,208.11,7.36,215.47,374.47,1708.1,270.41,46.21,28.29,17.8,2.8,0
268.56,188.89,8.19,197.08,376.6,1658.9,94.12,17.15,23.07,17.3,2.12,0
283.68,191.43,8.24,199.67,379.27,1737.1,317.68,55.39,23.23,21.5,3.03,0
225.96,209.34,8.45,217.79,381.77,1676.6,147.86,27.32,24.77,24.2,3.2,0
234.31,250.37,8.66,259.03,384.03,1673.2,454.69,70.12,28.91,28.8,2.5,0
345.91,176.15,8.94,185.09,378.06,1375.6,229.58,31.23,19.7,17,2.37,0
351.76,193.9,8.94,202.84,381.96,1435.6,67.32,11.61,21.7,16,1.3,0
487.91,347.41,8.3,355.71,395.7,1836.1,242.62,51.05,41.83,78,2.8,0
506.03,376.69,9.65,386.34,400.96,2103.2,287.94,65.62,39.05,32,3.03,0
766.43,385.01,12.45,397.46,398.83,2179.8,351.87,79.35,30.92,15,3.2,0
1333.81,367.82,14.16,381.98,396.44,2107.5,390.45,83.59,25.98,87,2.5,0
802.87,357.95,14.95,372.9,394.65,2005.4,366.34,75.46,23.94,35,2.5,0
373.7,349.27,15.32,364.59,394.33,1945.3,364.91,73.16,22.8,100,2.37,0
337.26,337.11,15.42,352.53,394.92,1919,321.19,64.86,21.86,100,1.3,0
370.13,343.76,15.3,359.06,396.04,1945.8,326.42,66.9,22.46,100,2.8,0
423.24,348.82,15.13,363.95,396.99,1967.9,333.97,68.97,23.05,97,2.8,0
420.91,352.51,15.08,367.59,397.6,1978.1,339.9,70.31,23.37,66,2.12,0
417.84,354.07,15.14,369.21,397.86,1985.5,327.14,68.27,23.38,88,3.03,0
407.83,355.39,15.23,370.62,398.04,2007.1,325.87,68.82,23.33,23,3.2,0
405.51,358.31,15.31,373.62,397.75,2021.7,342.92,72.36,23.41,51,2.5,0
406.14,360.15,15.42,375.57,397.57,2019.1,332.86,70.4,23.36,78,2.37,0
419.15,361.41,15.53,376.94,397.5,2028.4,328.75,69.98,23.27,69,1.3,0
423.01,362.97,15.6,378.57,397.7,2034.1,342.99,72.8,23.27,23,2.8,0
411.16,363.38,15.66,379.04,397.86,2027.5,335.32,71.07,23.2,16,0.23,0
418.02,361.51,15.71,377.22,398.01,2026.5,335.71,71.13,23.01,68,2.5,0
396.17,360.27,15.75,376.02,398.19,2025.9,336.02,71.19,22.88,36,2.37,0
398.19,360.08,15.74,375.82,398.44,2018.4,351.95,73.92,22.87,55,1.3,0
400.47,357.07,15.73,372.8,398.48,1990.2,364.82,75.06,22.7,76,2.8,0
401.19,351.75,15.73,367.48,398.71,1954.7,348.21,70.8,22.37,34,0.23,0
399.8,349.28,15.7,364.98,399.57,1952.7,322.79,66.43,22.25,89,3.03,0
430.22,353.12,15.58,368.7,400.73,1982.1,333.17,69.23,22.66,54,3.2,0
438.49,354.63,15.52,370.15,401,2020.8,244.28,53.5,22.85,43,2.5,0
425.4,340.73,15.37,356.1,398.44,2019.6,427.9,84.31,22.18,45,2.37,0
420.27,258.21,15.01,273.22,391.47,1718.3,434.63,69.02,17.2,34,2.8,0
419.16,214.91,14.12,229.03,391.44,1500.6,180.27,29.42,15.22,87,3.56,0
400.6,244.87,12.18,257.05,396.18,1629.4,202.6,35.88,20.1,65,2.12,0
333.44,214.58,11.02,225.6,394.47,1726,133.57,24.51,19.47,35,0.78,0
367.57,177.54,10.68,188.22,387.5,1762.2,86.41,15.9,16.62,33,2.5,0
717.52,156.24,9.55,165.79,380.48,1784.4,56.17,10.71,16.36,31,2.37,0
558.94,173.59,7.82,181.41,379.36,1862.1,125.23,24.91,22.2,67,1.3,0
257.99,202.07,6.84,208.91,380.84,1922.2,164.27,33.28,29.54,45,2.8,0
238.83,200.09,6.96,207.05,379.85,1934.1,162.25,32.66,28.77,64,0.45,0
266.03,198.47,7.37,205.84,379.13,1918.9,181.77,36.3,26.93,35,2.5,0
